Description,Expression,M,N,H
#Part time not work from home worker teleworking 2-3 hrs,(ptype == 2) & ~work_from_home & (telework_time > 2) & (telework_time <= 3),coef_part_time_worker_interaction_with_not_work_from_home_telework_2_to_3_hr_M,coef_part_time_worker_interaction_with_not_work_from_home_telework_2_to_3_hr_N,
#Part time not work from home worker teleworking 3-4 hrs,(ptype == 2) & ~work_from_home & (telework_time > 3) & (telework_time <= 4),coef_part_time_worker_interaction_with_not_work_from_home_telework_3_to_4_hr_M,coef_part_time_worker_interaction_with_not_work_from_home_telework_3_to_4_hr_N,
#Part time not work from home worker teleworking 4-5 hrs,(ptype == 2) & ~work_from_home & (telework_time > 4) & (telework_time <= 5),coef_part_time_worker_interaction_with_not_work_from_home_telework_4_to_5_hr_M,coef_part_time_worker_interaction_with_not_work_from_home_telework_4_to_5_hr_N,
#Part time not work from home worker teleworking 5-6 hrs,(ptype == 2) & ~work_from_home & (telework_time > 5) & (telework_time <= 6),coef_part_time_worker_interaction_with_not_work_from_home_telework_5_to_6_hr_M,coef_part_time_worker_interaction_with_not_work_from_home_telework_5_to_6_hr_N,
#Part time not work from home worker teleworking 6-7 hrs,(ptype == 2) & ~work_from_home & (telework_time > 6) & (telework_time <= 7),coef_part_time_worker_interaction_with_not_work_from_home_telework_6_to_7_hr_M,coef_part_time_worker_interaction_with_not_work_from_home_telework_6_to_7_hr_N,
#Part time not work from home worker teleworking 7-8 hrs,(ptype == 2) & ~work_from_home & (telework_time > 7) & (telework_time <= 8),coef_part_time_worker_interaction_with_not_work_from_home_telework_7_to_8_hr_M,coef_part_time_worker_interaction_with_not_work_from_home_telework_7_to_8_hr_N,
#Part time not work from home worker teleworking 8+ hrs,(ptype == 2) & ~work_from_home & (telework_time > 8),coef_part_time_worker_interaction_with_not_work_from_home_telework_8_plus_hr_M,coef_part_time_worker_interaction_with_not_work_from_home_telework_8_plus_hr_N,
#Full-time worker interaction with non-mandatory accessibility,(ptype == 1) * ((shopping_accessibility + othdiscr_accessibility) / 2),,,coef_full_time_worker_interaction_with_non_mand_accessibility_H
#Part-time worker interaction with non-mandatory accessibility,(ptype == 2) * ((shopping_accessibility + othdiscr_accessibility) / 2),,,coef_part_time_worker_interaction_with_non_mand_accessibility_H
#University student interaction with non-mandatory accessibility,(ptype == 3) * ((shopping_accessibility + othdiscr_accessibility) / 2),,,coef_university_student_interaction_with_non_mand_accessibility_H
#Non-working adult interaction with non-mandatory accessibility,(ptype == 4) * ((shopping_accessibility + othdiscr_accessibility) / 2),,,coef_non_working_adult_interaction_with_non_mand_accessibility_H
#Retired interaction with non-mandatory accessibility,(ptype == 5) * ((shopping_accessibility + othdiscr_accessibility) / 2),,,coef_retired_interaction_with_non_mand_accessibility_H
#Driving-age child who is in school interaction with non-mandatory accessibility,(ptype == 6) * ((shopping_accessibility + othdiscr_accessibility) / 2),,,coef_driving_age_child_who_is_in_school_interaction_with_non_mand_accessibility_H
#Pre-driving-age child who is in school interaction with non-mandatory accessibility,(ptype == 7) * ((shopping_accessibility + othdiscr_accessibility) / 2),,,coef_pre_driving_age_child_who_is_in_school_interaction_with_non_mand_accessibility_H
#Pre-driving-age child who is too young for school interaction with non-mandatory accessibility,(ptype == 8) * ((shopping_accessibility + othdiscr_accessibility) / 2),,,coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_non_mand_accessibility_H
#Non-mandatory accessibility,(((shopping_accessibility + othdiscr_accessibility) / 2)),,coef_non_mand_accessibility_N,
# cutting non-mandatory disaggregate accessibility into roughly quartiles with low as base,,,,
#Non-mandatory accessibility med low,(((shopping_accessibility + othdiscr_accessibility) / 2) >= 12) & (((shopping_accessibility + othdiscr_accessibility) / 2) < 13.5),,coef_non_mand_accessibility_med_low_N,
#Non-mandatory accessibility med high,(((shopping_accessibility + othdiscr_accessibility) / 2) >= 13.5) & (((shopping_accessibility + othdiscr_accessibility) / 2) < 15),,coef_non_mand_accessibility_med_high_N,
#Non-mandatory accessibility high,(((shopping_accessibility + othdiscr_accessibility) / 2) >= 15),,coef_non_mand_accessibility_high_N,
#Full-time worker interaction with medium low non-mandatory accessibility,(ptype == 1) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 13.5) & (((shopping_accessibility + othdiscr_accessibility) / 2) < 14),,coef_full_time_worker_interaction_with_medium_low_non_mand_accessibility_N,
Full-time worker interaction with medium high non-mandatory accessibility,(ptype == 1) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 14) & (((shopping_accessibility + othdiscr_accessibility) / 2) < 14.5),,coef_full_time_worker_interaction_with_medium_high_non_mand_accessibility_N,
Full-time worker interaction with high non-mandatory accessibility,(ptype == 1) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 14.5),,coef_full_time_worker_interaction_with_high_non_mand_accessibility_N,
#Part-time worker interaction with medium low non-mandatory accessibility,(ptype == 2) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 13.5) & (((shopping_accessibility + othdiscr_accessibility) / 2) < 14),,coef_part_time_worker_interaction_with_medium_low_non_mand_accessibility_N,
#Part-time worker interaction with medium high non-mandatory accessibility,(ptype == 2) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 14) & (((shopping_accessibility + othdiscr_accessibility) / 2) < 14.5),,coef_part_time_worker_interaction_with_medium_high_non_mand_accessibility_M,
Part-time worker interaction with high non-mandatory accessibility,(ptype == 2) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 14.5),,coef_part_time_worker_interaction_with_high_non_mand_accessibility_N,
#University student interaction with medium low non-mandatory accessibility,(ptype == 3) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 13.5) & (((shopping_accessibility + othdiscr_accessibility) / 2) < 14),,coef_university_student_interaction_with_medium_low_non_mand_accessibility_N,
#University student interaction with medium high non-mandatory accessibility,(ptype == 3) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 14) & (((shopping_accessibility + othdiscr_accessibility) / 2) < 14.5),,coef_university_student_interaction_with_medium_high_non_mand_accessibility_N,
University student interaction with high non-mandatory accessibility,(ptype == 3) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 14.5),coef_university_student_interaction_with_high_non_mand_accessibility_M,coef_university_student_interaction_with_high_non_mand_accessibility_N,
#Non-working adult interaction with medium low non-mandatory accessibility,(ptype == 4) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 13.5) & (((shopping_accessibility + othdiscr_accessibility) / 2) < 14),,coef_non_working_adult_interaction_with_medium_low_non_mand_accessibility_N,
#Non-working adult interaction with medium high non-mandatory accessibility,(ptype == 4) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 14) & (((shopping_accessibility + othdiscr_accessibility) / 2) < 14.5),,coef_non_working_adult_interaction_with_medium_high_non_mand_accessibility_N,
Non-working adult interaction with high non-mandatory accessibility,(ptype == 4) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 14.5),,coef_non_working_adult_interaction_with_high_non_mand_accessibility_N,
#Retired interaction with medium low non-mandatory accessibility,(ptype == 5) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 13.5) & (((shopping_accessibility + othdiscr_accessibility) / 2) < 14),,coef_retired_interaction_with_medium_low_non_mand_accessibility_N,
Retired interaction with medium high non-mandatory accessibility,(ptype == 5) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 14) & (((shopping_accessibility + othdiscr_accessibility) / 2) < 14.5),,coef_retired_interaction_with_medium_high_non_mand_accessibility_N,
Retired interaction with high non-mandatory accessibility,(ptype == 5) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 14.5),,coef_retired_interaction_with_high_non_mand_accessibility_N,
#Driving-age child who is in school interaction with medium low non-mandatory accessibility,(ptype == 6) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 13.5) & (((shopping_accessibility + othdiscr_accessibility) / 2) < 14),,coef_driving_age_child_who_is_in_school_interaction_with_medium_low_non_mand_accessibility_N,
#Driving-age child who is in school interaction with medium high non-mandatory accessibility,(ptype == 6) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 14) & (((shopping_accessibility + othdiscr_accessibility) / 2) < 14.5),,coef_driving_age_child_who_is_in_school_interaction_with_medium_high_non_mand_accessibility_N,
#Driving-age child who is in school interaction with high non-mandatory accessibility,(ptype == 6) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 14.5),,coef_driving_age_child_who_is_in_school_interaction_with_high_non_mand_accessibility_N,
#Pre-driving-age child who is in school interaction with medium low non-mandatory accessibility,(ptype == 7) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 13.5) & (((shopping_accessibility + othdiscr_accessibility) / 2) < 14),,coef_pre_driving_age_child_who_is_in_school_interaction_with_medium_low_non_mand_accessibility_N,
#Pre-driving-age child who is in school interaction with medium high non-mandatory accessibility,(ptype == 7) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 14) & (((shopping_accessibility + othdiscr_accessibility) / 2) < 14.5),,coef_pre_driving_age_child_who_is_in_school_interaction_with_medium_high_non_mand_accessibility_N,
#Pre-driving-age child who is in school interaction with high non-mandatory accessibility,(ptype == 7) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 14.5),,coef_pre_driving_age_child_who_is_in_school_interaction_with_high_non_mand_accessibility_N,
#Pre-driving-age child who is too young for school interaction with medium low non-mandatory accessibility,(ptype == 8) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 13.5) & (((shopping_accessibility + othdiscr_accessibility) / 2) < 14),,coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_medium_low_non_mand_accessibility_N,
#Pre-driving-age child who is too young for school interaction with medium high non-mandatory accessibility,(ptype == 8) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 14) & (((shopping_accessibility + othdiscr_accessibility) / 2) < 14.5),,coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_medium_high_non_mand_accessibility_N,
#Pre-driving-age child who is too young for school interaction with high non-mandatory accessibility,(ptype == 8) & (((shopping_accessibility + othdiscr_accessibility) / 2) >= 14.5),,,coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_high_non_mand_accessibility_H
# workplace mode choice logsum of -2 is around 15th percentile,,,,
#Full-time worker interaction with workplace mode choice logsum,(pemploy == 1) & (workplace_modechoice_logsum>0),coef_full_time_worker_interaction_with_workplace_mc_logsum_gt_0_M,,
#Part-time worker interaction with workplace mode choice logsum greater than 0,(pemploy == 2) & (workplace_modechoice_logsum>0),coef_part_time_worker_interaction_with_workplace_mc_logsum_gt_0_M,,
#Part-time worker interaction with workplace mode choice logsum between 0 and -1,(pemploy == 2) & (workplace_modechoice_logsum<=0) * (workplace_modechoice_logsum>-1),coef_part_time_worker_interaction_with_workplace_mc_logsum_neg1_to_0_M,,
Part-time worker interaction with workplace mode choice logsum less than -2,(ptype == 2) & (workplace_modechoice_logsum<-2),coef_part_time_worker_interaction_with_workplace_mc_logsum_lt_neg2_M,,
#University Student interaction with workplace mode choice logsum less than 0,(ptype == 3) & (workplace_modechoice_logsum<0),coef_university_student_interaction_with_workplace_location_mc_logsum_lt_0_M,,
# school location mode choice logsum of -2 is around 13th percentile,,,,
#University Student interaction with school location mode choice logsum,school_modechoice_logsum,coef_university_student_interaction_with_school_location_mc_logsum_M,,
University Student interaction with school location mode choice logsum less than -2,(ptype == 3) & (school_modechoice_logsum<-2),coef_university_student_interaction_with_school_location_mc_logsum_lt_neg2_M,,
